"1","admissions","www.pdx.edu/admissions","admissions","","1"
"2","gradschool","www.pdx.edu/gradschool","gradschool","","1"
"3","president","www.pdx.edu/president","president","","1"
"4","financialservices","www.pdx.edu/financial-services","financial-services","","1"
"5","registration","www.pdx.edu/registration","registration","","1"
"6","campussafety","www.pdx.edu/campus-safety","campus-safety","","1"
"7","advising","www.pdx.edu/advising","advising","","1"
"8","academicaffairs","www.pdx.edu/academic-affairs","academic-affairs","","1"
"9","psuonline","www.pdx.edu/psu-online","psu-online","","2"
"10","honors","www.pdx.edu/honors","honors","","2"
"11","informationtechnology","www.pdx.edu/technology","technology","","2"
"12","studenthealthcounseling","www.pdx.edu/health-counseling","health-counseling","","2"
"13","studentfinance","www.pdx.edu/student-finance","student-finance","","2"
"14","visit","www.pdx.edu/visit","visit","","2"
"15","careers","www.pdx.edu/careers","careers","","2"
"16","engineering","www.pdx.edu/engineering","engineering","","2"
"17","liberalartssciences","www.pdx.edu/liberal-arts-sciences","liberal-arts-sciences","","2"
"18","socialwork","www.pdx.edu/social-work","social-work","","2"
"19","business","www.pdx.edu/business","business","","2"
"20","executiveeducation","www.pdx.edu/professional-education","professional-education","","2"
"21","education","www.pdx.edu/education","education","","2"
"22","disabilityresourcecenter","www.pdx.edu/disability-resource-center","disability-resource-center","","2"
"23","humanresources","www.pdx.edu/human-resources","human-resources","","2"
