"11","informationtechnology","www.pdx.edu/technology","technology","","2"
"12","studenthealthcounseling","www.pdx.edu/health-counseling","health-counseling","","2"
"13","studentfinance","www.pdx.edu/student-finance","student-finance","","2"
"14","visit","www.pdx.edu/visit","visit","","2"
"15","careers","www.pdx.edu/careers","careers","","2"
"16","engineering","www.pdx.edu/engineering","engineering","","2"
"17","liberalartssciences","www.pdx.edu/liberal-arts-sciences","liberal-arts-sciences","","2"
"18","socialwork","www.pdx.edu/social-work","social-work","","2"
"19","business","www.pdx.edu/business","business","","2"
"20","executiveeducation","www.pdx.edu/professional-education","professional-education","","2"
